entry_id,location_code,account_code,account_name,posting_date,amount
GL-000001,LOC-01,5100,Food COGS,2024-04-01,-398.17
GL-000002,LOC-01,6000,Labor - Hourly,2024-04-01,-356.77
GL-000003,LOC-01,5100,Food COGS,2024-04-02,-520.63
GL-000004,LOC-01,6000,Labor - Hourly,2024-04-02,-479.4
GL-000005,LOC-01,5100,Food COGS,2024-04-03,-533.35
GL-000006,LOC-01,6000,Labor - Hourly,2024-04-03,-507.19
GL-000007,LOC-01,5100,Food COGS,2024-04-04,-309.69
GL-000008,LOC-01,6000,Labor - Hourly,2024-04-04,-274.9
GL-000009,LOC-01,5100,Food COGS,2024-04-05,-778.25
GL-000010,LOC-01,6000,Labor - Hourly,2024-04-05,-711.74
GL-000011,LOC-01,5100,Food COGS,2024-04-06,-1107.27
GL-000012,LOC-01,6000,Labor - Hourly,2024-04-06,-983.48
GL-000013,LOC-01,5100,Food COGS,2024-04-07,-1097.23
GL-000014,LOC-01,6000,Labor - Hourly,2024-04-07,-1016.75
GL-000015,LOC-01,5100,Food COGS,2024-04-08,-481.31
GL-000016,LOC-01,6000,Labor - Hourly,2024-04-08,-417.99
GL-000017,LOC-01,5100,Food COGS,2024-04-09,-357.28
GL-000018,LOC-01,6000,Labor - Hourly,2024-04-09,-331.85
GL-000019,LOC-01,5100,Food COGS,2024-04-10,-742.3
GL-000020,LOC-01,6000,Labor - Hourly,2024-04-10,-651.89
GL-000021,LOC-01,5100,Food COGS,2024-04-11,-269.6
GL-000022,LOC-01,6000,Labor - Hourly,2024-04-11,-270.45
GL-000023,LOC-01,5100,Food COGS,2024-04-12,-922.75
GL-000024,LOC-01,6000,Labor - Hourly,2024-04-12,-908.03
GL-000025,LOC-01,5100,Food COGS,2024-04-13,-904.38
GL-000026,LOC-01,6000,Labor - Hourly,2024-04-13,-828.74
GL-000027,LOC-01,5100,Food COGS,2024-04-14,-457.95
GL-000028,LOC-01,6000,Labor - Hourly,2024-04-14,-449.79
GL-000029,LOC-01,5100,Food COGS,2024-04-15,-491.37
GL-000030,LOC-01,6000,Labor - Hourly,2024-04-15,-382.2
GL-000031,LOC-01,5100,Food COGS,2024-04-16,-460.22
GL-000032,LOC-01,6000,Labor - Hourly,2024-04-16,-406.88
GL-000033,LOC-01,5100,Food COGS,2024-04-17,-374.86
GL-000034,LOC-01,6000,Labor - Hourly,2024-04-17,-300.94
GL-000035,LOC-01,5100,Food COGS,2024-04-18,-503.16
GL-000036,LOC-01,6000,Labor - Hourly,2024-04-18,-470.29
GL-000037,LOC-01,5100,Food COGS,2024-04-19,-588.44
GL-000038,LOC-01,6000,Labor - Hourly,2024-04-19,-498.43
GL-000039,LOC-01,5100,Food COGS,2024-04-20,-863.76
GL-000040,LOC-01,6000,Labor - Hourly,2024-04-20,-745.49
GL-000041,LOC-01,5100,Food COGS,2024-04-21,-524.49
GL-000042,LOC-01,6000,Labor - Hourly,2024-04-21,-433.01
GL-000043,LOC-01,5100,Food COGS,2024-04-22,-526.15
GL-000044,LOC-01,6000,Labor - Hourly,2024-04-22,-414.31
GL-000045,LOC-01,5100,Food COGS,2024-04-23,-257.96
GL-000046,LOC-01,6000,Labor - Hourly,2024-04-23,-230.16
GL-000047,LOC-01,5100,Food COGS,2024-04-24,-567.35
GL-000048,LOC-01,6000,Labor - Hourly,2024-04-24,-492.75
GL-000049,LOC-01,5100,Food COGS,2024-04-25,-642.22
