order_id,store_code,order_date,gross_sales,promo_deductions,guest_count
QU-000001,STR-B01,2024-04-01,489.87,0.0,1
QU-000002,STR-B01,2024-04-01,385.03,0.0,5
QU-000003,STR-B01,2024-04-01,518.26,0.0,8
QU-000004,STR-B01,2024-04-01,392.83,47.14,7
QU-000005,STR-B01,2024-04-02,496.42,0.0,2
QU-000006,STR-B01,2024-04-02,97.4,7.79,10
QU-000007,STR-B01,2024-04-02,189.47,0.0,3
QU-000008,STR-B01,2024-04-03,242.95,19.44,9
QU-000009,STR-B01,2024-04-03,158.09,0.0,7
QU-000010,STR-B01,2024-04-03,192.17,0.0,10
QU-000011,STR-B01,2024-04-03,220.84,0.0,6
QU-000012,STR-B01,2024-04-03,272.9,0.0,2
QU-000013,STR-B01,2024-04-04,280.09,0.0,10
QU-000014,STR-B01,2024-04-04,326.99,26.16,3
QU-000015,STR-B01,2024-04-04,209.52,0.0,9
QU-000016,STR-B01,2024-04-04,128.94,15.47,9
QU-000017,STR-B01,2024-04-04,287.95,0.0,9
QU-000018,STR-B01,2024-04-05,93.07,0.0,6
QU-000019,STR-B01,2024-04-05,418.87,50.26,1
QU-000020,STR-B01,2024-04-05,246.76,19.74,6
QU-000021,STR-B01,2024-04-05,355.99,28.48,3
QU-000022,STR-B01,2024-04-05,278.07,0.0,10
QU-000023,STR-B01,2024-04-05,496.59,0.0,8
QU-000024,STR-B01,2024-04-06,240.16,0.0,1
QU-000025,STR-B01,2024-04-06,265.76,21.26,8
QU-000026,STR-B01,2024-04-06,168.12,0.0,9
QU-000027,STR-B01,2024-04-06,135.91,10.87,9
QU-000028,STR-B01,2024-04-07,327.7,0.0,3
QU-000029,STR-B01,2024-04-07,297.91,35.75,6
QU-000030,STR-B01,2024-04-07,186.49,22.38,9
QU-000031,STR-B01,2024-04-07,421.49,0.0,5
QU-000032,STR-B01,2024-04-07,510.77,61.29,3
QU-000033,STR-B01,2024-04-08,126.32,10.11,2
QU-000034,STR-B01,2024-04-08,296.16,0.0,7
QU-000035,STR-B01,2024-04-08,386.05,46.33,1
QU-000036,STR-B01,2024-04-08,446.42,53.57,6
QU-000037,STR-B01,2024-04-09,104.34,12.52,5
QU-000038,STR-B01,2024-04-09,383.89,46.07,4
QU-000039,STR-B01,2024-04-09,510.44,40.84,9
QU-000040,STR-B01,2024-04-10,272.06,0.0,4
QU-000041,STR-B01,2024-04-10,320.36,25.63,6
QU-000042,STR-B01,2024-04-11,109.75,8.78,8
QU-000043,STR-B01,2024-04-11,296.72,0.0,10
QU-000044,STR-B01,2024-04-11,242.96,0.0,6
QU-000045,STR-B01,2024-04-11,214.96,0.0,6
QU-000046,STR-B01,2024-04-11,495.68,39.65,8
QU-000047,STR-B01,2024-04-12,242.13,0.0,5
QU-000048,STR-B01,2024-04-12,106.81,0.0,9
QU-000049,STR-B01,2024-04-12,369.92,44.39,9
QU-000050,STR-B01,2024-04-12,117.82,14.14,6
QU-000051,STR-B01,2024-04-12,436.55,52.39,8
QU-000052,STR-B01,2024-04-13,180.83,14.47,9
QU-000053,STR-B01,2024-04-13,215.54,0.0,8
QU-000054,STR-B01,2024-04-13,360.59,0.0,9
QU-000055,STR-B01,2024-04-13,99.15,0.0,2
QU-000056,STR-B01,2024-04-13,97.06,0.0,2
QU-000057,STR-B01,2024-04-14,115.48,9.24,5
QU-000058,STR-B01,2024-04-14,339.34,0.0,7
QU-000059,STR-B01,2024-04-14,252.96,30.36,2
QU-000060,STR-B01,2024-04-14,274.09,0.0,2
QU-000061,STR-B01,2024-04-14,237.61,0.0,7
QU-000062,STR-B01,2024-04-14,506.76,0.0,4
QU-000063,STR-B01,2024-04-15,97.16,0.0,8
QU-000064,STR-B01,2024-04-15,375.33,0.0,1
QU-000065,STR-B01,2024-04-15,108.1,0.0,6
QU-000066,STR-B01,2024-04-15,327.36,0.0,9
QU-000067,STR-B01,2024-04-16,145.95,11.68,1
QU-000068,STR-B01,2024-04-16,264.64,31.76,10
QU-000069,STR-B01,2024-04-16,383.16,30.65,5
QU-000070,STR-B01,2024-04-17,358.24,0.0,7
QU-000071,STR-B01,2024-04-17,369.12,44.29,1
QU-000072,STR-B01,2024-04-17,485.74,0.0,7
QU-000073,STR-B01,2024-04-17,180.8,0.0,7
QU-000074,STR-B01,2024-04-18,299.51,0.0,5
QU-000075,STR-B01,2024-04-18,246.01,29.52,2
QU-000076,STR-B01,2024-04-18,298.34,35.8,4
QU-000077,STR-B01,2024-04-18,191.36,0.0,5
QU-000078,STR-B01,2024-04-19,202.07,24.25,7
QU-000079,STR-B01,2024-04-19,262.59,0.0,10
QU-000080,STR-B01,2024-04-19,105.14,0.0,1
QU-000081,STR-B01,2024-04-19,201.74,0.0,10
QU-000082,STR-B01,2024-04-19,480.09,57.61,1
QU-000083,STR-B01,2024-04-20,391.63,47.0,9
QU-000084,STR-B01,2024-04-20,433.58,34.69,8
QU-000085,STR-B01,2024-04-20,361.75,0.0,2
QU-000086,STR-B01,2024-04-20,219.68,26.36,7
QU-000087,STR-B01,2024-04-20,137.08,10.97,1
QU-000088,STR-B01,2024-04-20,332.79,39.93,8
QU-000089,STR-B01,2024-04-21,121.61,0.0,10
QU-000090,STR-B01,2024-04-21,305.47,0.0,7
QU-000091,STR-B01,2024-04-21,506.94,60.83,9
QU-000092,STR-B01,2024-04-21,134.14,0.0,4
QU-000093,STR-B01,2024-04-21,458.91,55.07,5
QU-000094,STR-B01,2024-04-22,349.18,0.0,9
QU-000095,STR-B01,2024-04-22,131.25,0.0,2
QU-000096,STR-B01,2024-04-22,253.84,0.0,5
QU-000097,STR-B01,2024-04-22,488.82,39.11,3
QU-000098,STR-B01,2024-04-22,248.97,0.0,2
QU-000099,STR-B01,2024-04-23,462.41,0.0,7
QU-000100,STR-B01,2024-04-23,136.44,10.92,7
QU-000101,STR-B01,2024-04-23,345.21,27.62,7
QU-000102,STR-B01,2024-04-24,421.22,0.0,10
QU-000103,STR-B01,2024-04-24,242.5,19.4,10
QU-000104,STR-B01,2024-04-24,494.98,39.6,5
QU-000105,STR-B01,2024-04-25,105.96,0.0,10
QU-000106,STR-B01,2024-04-25,368.45,44.21,8
QU-000107,STR-B01,2024-04-25,141.49,0.0,4
QU-000108,STR-B01,2024-04-25,128.51,0.0,8
QU-000109,STR-B01,2024-04-26,491.12,0.0,5
QU-000110,STR-B01,2024-04-26,164.17,0.0,5
QU-000111,STR-B01,2024-04-26,448.74,0.0,8
QU-000112,STR-B01,2024-04-26,127.65,10.21,6
QU-000113,STR-B01,2024-04-27,454.71,0.0,2
QU-000114,STR-B01,2024-04-27,249.09,19.93,5
QU-000115,STR-B01,2024-04-27,212.09,0.0,9
QU-000116,STR-B01,2024-04-27,408.14,0.0,10
QU-000117,STR-B01,2024-04-28,407.57,0.0,6
QU-000118,STR-B01,2024-04-28,200.49,24.06,2
QU-000119,STR-B01,2024-04-28,449.15,35.93,9
QU-000120,STR-B01,2024-04-28,109.15,13.1,9
QU-000121,STR-B01,2024-04-28,298.6,23.89,3
QU-000122,STR-B01,2024-04-28,98.99,0.0,9
QU-000123,STR-B01,2024-04-28,437.43,34.99,4
QU-000124,STR-B01,2024-04-29,490.29,0.0,5
QU-000125,STR-B01,2024-04-29,476.55,38.12,7
QU-000126,STR-B01,2024-04-29,91.05,7.28,5
QU-000127,STR-B01,2024-04-29,373.76,0.0,5
QU-000128,STR-B01,2024-04-29,277.72,0.0,1
QU-000129,STR-B01,2024-04-30,277.19,0.0,4
QU-000130,STR-B01,2024-04-30,241.49,0.0,3
QU-000131,STR-B01,2024-04-30,229.99,0.0,7
QU-000132,STR-B01,2024-05-01,329.5,0.0,7
QU-000133,STR-B01,2024-05-01,399.55,0.0,4
QU-000134,STR-B01,2024-05-02,493.71,0.0,6
QU-000135,STR-B01,2024-05-02,121.13,0.0,10
QU-000136,STR-B01,2024-05-02,376.82,0.0,3
QU-000137,STR-B01,2024-05-02,464.42,0.0,3
QU-000138,STR-B01,2024-05-03,235.89,0.0,7
QU-000139,STR-B01,2024-05-03,478.12,57.37,1
QU-000140,STR-B01,2024-05-03,309.54,0.0,9
QU-000141,STR-B01,2024-05-03,486.74,0.0,8
QU-000142,STR-B01,2024-05-03,157.23,0.0,3
QU-000143,STR-B01,2024-05-03,258.26,0.0,5
QU-000144,STR-B01,2024-05-03,104.03,0.0,10
QU-000145,STR-B01,2024-05-04,300.15,0.0,4
QU-000146,STR-B01,2024-05-04,155.12,12.41,3
QU-000147,STR-B01,2024-05-04,284.06,0.0,3
QU-000148,STR-B01,2024-05-04,467.71,0.0,8
QU-000149,STR-B01,2024-05-04,282.28,22.58,8
QU-000150,STR-B01,2024-05-05,276.8,33.22,6
QU-000151,STR-B01,2024-05-05,481.95,57.83,2
QU-000152,STR-B01,2024-05-05,339.67,0.0,7
QU-000153,STR-B01,2024-05-05,321.09,25.69,8
QU-000154,STR-B01,2024-05-05,413.6,49.63,3
QU-000155,STR-B01,2024-05-05,509.52,0.0,5
QU-000156,STR-B01,2024-05-06,428.57,0.0,7
QU-000157,STR-B01,2024-05-06,300.26,24.02,3
QU-000158,STR-B01,2024-05-06,514.92,41.19,7
QU-000159,STR-B01,2024-05-07,395.01,47.4,1
QU-000160,STR-B01,2024-05-07,481.22,0.0,4
QU-000161,STR-B01,2024-05-07,263.87,21.11,8
QU-000162,STR-B01,2024-05-07,367.85,0.0,3
QU-000163,STR-B01,2024-05-08,172.3,13.78,2
QU-000164,STR-B01,2024-05-08,477.83,0.0,2
QU-000165,STR-B01,2024-05-09,283.58,0.0,6
QU-000166,STR-B01,2024-05-09,194.63,0.0,4
QU-000167,STR-B01,2024-05-09,328.47,39.42,4
QU-000168,STR-B01,2024-05-09,171.45,0.0,6
QU-000169,STR-B01,2024-05-09,432.06,0.0,9
QU-000170,STR-B01,2024-05-10,135.32,10.83,5
QU-000171,STR-B01,2024-05-10,322.44,0.0,3
QU-000172,STR-B01,2024-05-10,197.3,0.0,9
QU-000173,STR-B01,2024-05-10,115.08,0.0,10
QU-000174,STR-B01,2024-05-11,305.32,36.64,6
QU-000175,STR-B01,2024-05-11,500.67,0.0,2
